Epoch,Train_Loss,Val_Loss
0,2.650421380996704,2.702423334121704
100,2.4476842880249023,2.4426114559173584
200,2.441350221633911,2.445453405380249
300,2.442317008972168,2.4409470558166504
400,2.441110134124756,2.4416403770446777
500,2.4421825408935547,2.440890312194824
600,2.4402008056640625,2.4389803409576416
700,2.4409677982330322,2.4423296451568604
800,2.440964698791504,2.441582441329956
900,2.440980911254883,2.4414381980895996
1000,2.4406962394714355,2.4465179443359375
1100,2.440337657928467,2.440089702606201
1200,2.443547487258911,2.4442293643951416
1300,2.439809560775757,2.4412736892700195
1400,2.442131280899048,2.4405384063720703
1500,2.439678907394409,2.441835403442383
1600,2.441016912460327,2.440432071685791
1700,2.439019203186035,2.4423987865448
1800,2.4420785903930664,2.440660238265991
1900,2.4420013427734375,2.441030979156494
2000,2.4420366287231445,2.441317558288574
2100,2.4402735233306885,2.4416632652282715
2200,2.44039249420166,2.4405272006988525
2300,2.4419634342193604,2.440373182296753
2400,2.4413933753967285,2.4411420822143555
2500,2.440922260284424,2.4419422149658203
2600,2.4407689571380615,2.4409167766571045
2700,2.4420502185821533,2.441518783569336
2800,2.4408621788024902,2.4403369426727295
2900,2.4406259059906006,2.441711187362671
